Timestamp,Parking_Lot_ID,Location_Type,Total_Slots,Occupied_Slots,Available_Slots,Occupancy_Rate,Vehicle_Count,Entry_Count,Exit_Count,Vehicle_Type,Traffic_Level,Congestion_Status,Parking_Status,Weather,Temperature,Day_Type,Hour,Revenue,Peak_Hour
2026-02-12 12:36:00,PL012,Residential,90,35,55,38.89,50,13,9,EV,Medium,0,0,Cloudy,8.9,Weekday,12,$57.78,0
2025-11-22 06:41:00,PL009,Hospital,140,69,71,49.29,78,8,8,Car,Medium,1,0,Cloudy,14.7,Weekend,6,$171.89,0
2026-02-13 23:57:00,PL006,Residential,160,90,70,56.25,102,4,10,Car,Medium,1,0,Sunny,11.7,Weekday,23,$153.80,0
2026-03-26 20:42:00,PL004,Railway_Station,380,241,139,63.42,308,34,84,Bike,Medium,1,0,Sunny,15.7,Weekday,20,$716.67,1
2026-01-19 00:03:00,PL003,Hospital,260,104,156,40,119,16,8,Car,Low,0,0,Sunny,8.5,Weekday,0,$229.05,0
2025-10-21 02:38:00,PL008,Office,220,82,138,37.27,88,7,10,Bike,Low,0,0,Sunny,20,Weekday,2,$206.34,0
2025-06-14 20:41:00,PL006,Residential,160,117,43,73.12,142,7,29,Car,High,1,0,Rainy,24.3,Weekend,20,$239.33,1
2026-03-25 10:37:00,PL006,Residential,160,49,111,30.63,73,27,7,Car,Low,0,0,Cloudy,18.9,Weekday,10,$89.30,1
2025-11-04 19:43:00,PL001,Mall,420,333,87,79.29,385,18,87,EV,High,1,0,Rainy,17.3,Weekday,19,"$1,413.71",1
2026-03-20 10:04:00,PL006,Residential,160,61,99,38.12,80,26,9,Car,Low,0,0,Cloudy,17,Weekday,10,$117.17,1
2026-04-23 02:05:00,PL010,Railway_Station,260,126,134,48.46,154,25,15,Car,Medium,0,0,Cloudy,12,Weekday,2,$396.76,0
2026-02-21 13:30:00,PL011,Airport,420,351,69,83.57,411,42,59,Bus,High,1,0,Rainy,8.7,Weekend,13,"$1,556.58",0
2025-09-08 10:35:00,PL001,Mall,420,216,204,51.43,276,65,25,Car,Medium,1,0,Sunny,19.7,Weekday,10,$788.22,1
2026-01-20 22:41:00,PL007,Mall,300,169,131,56.33,177,9,11,Car,Medium,0,0,Rainy,4.9,Weekday,22,$583.82,0
2025-09-18 20:07:00,PL006,Residential,160,97,63,60.62,119,10,27,Car,Medium,1,0,Rainy,16.3,Weekday,20,$195.22,1
2026-01-21 12:54:00,PL011,Airport,420,287,133,68.33,355,50,57,Bus,Medium,0,0,Cloudy,10.2,Weekday,12,"$1,448.88",0
2025-08-13 16:54:00,PL009,Hospital,140,75,65,53.57,78,5,9,EV,Medium,1,0,Rainy,26.8,Weekday,16,$184.95,0
2025-07-16 15:45:00,PL012,Residential,90,42,48,46.67,51,7,8,Car,Medium,0,0,Sunny,30.1,Weekday,15,$57.74,0
2025-10-28 11:56:00,PL012,Residential,90,50,40,55.56,60,5,5,EV,Medium,0,0,Sunny,16,Weekday,11,$89.49,0
2025-12-20 15:08:00,PL003,Hospital,260,113,147,43.46,128,14,21,Car,Low,1,0,Cloudy,4.3,Weekend,15,$212.79,0
2025-07-11 07:56:00,PL008,Office,220,158,62,71.82,174,34,7,Car,Medium,1,0,Cloudy,27.5,Weekday,7,$483.96,1
2025-07-28 16:11:00,PL006,Residential,160,67,93,41.88,83,11,8,Car,Low,0,0,Cloudy,29.3,Weekday,16,$114.87,0
2025-06-27 17:06:00,PL003,Hospital,260,120,140,46.15,146,10,40,Bus,High,1,0,Cloudy,30.5,Weekday,17,$344.71,1
2025-09-03 06:05:00,PL002,Office,320,192,128,60,222,15,19,Car,Medium,1,0,Sunny,22.9,Weekday,6,$522.93,0
2025-05-21 04:42:00,PL001,Mall,420,139,281,33.1,162,15,17,Car,Low,0,0,Sunny,23.4,Weekday,4,$442.26,0
2025-11-20 18:33:00,PL010,Railway_Station,260,156,104,60,191,19,57,Car,Medium,1,0,Cloudy,17.5,Weekday,18,$494.22,1
2025-06-03 14:45:00,PL004,Railway_Station,380,284,96,74.74,334,35,55,Car,Medium,1,0,Cloudy,29,Weekday,14,$794.18,0
2025-09-10 05:57:00,PL010,Railway_Station,260,103,157,39.62,125,25,17,Bike,Low,1,0,Sunny,20,Weekday,5,$348.84,0
2025-07-24 13:33:00,PL007,Mall,300,201,99,67,223,25,33,Car,Medium,1,0,Sunny,28.3,Weekday,13,$628.33,0
2026-05-06 06:26:00,PL008,Office,220,115,105,52.27,132,21,10,EV,Medium,0,0,Sunny,21,Weekday,6,$405.21,0
2025-09-09 05:19:00,PL004,Railway_Station,380,174,206,45.79,209,27,27,Car,Medium,0,0,Cloudy,19.9,Weekday,5,$588.35,0
2025-09-04 16:54:00,PL005,Airport,500,269,231,53.8,304,28,38,Car,Medium,0,0,Cloudy,17.7,Weekday,16,"$1,089.85",0
2025-07-25 11:17:00,PL005,Airport,500,343,157,68.6,379,30,42,Car,Medium,1,0,Rainy,24,Weekday,11,"$1,754.10",0
2025-09-20 04:14:00,PL003,Hospital,260,130,130,50,147,11,18,Car,Medium,1,0,Sunny,16.9,Weekend,4,$261.10,0
2025-07-29 18:16:00,PL010,Railway_Station,260,180,80,69.23,221,16,56,Car,High,0,0,Sunny,28,Weekday,18,$595.16,1
2026-04-17 03:10:00,PL007,Mall,300,103,197,34.33,124,16,14,Car,Low,1,0,Sunny,19.2,Weekday,3,$327.43,0
2025-10-20 05:08:00,PL001,Mall,420,206,214,49.05,213,9,16,EV,Low,0,0,Sunny,18.2,Weekday,5,$797.58,0
2026-01-23 19:49:00,PL010,Railway_Station,260,137,123,52.69,173,14,48,Car,Medium,0,0,Foggy,7.4,Weekday,19,$538.34,1
2026-05-02 07:37:00,PL001,Mall,420,288,132,68.57,346,75,17,Car,Medium,1,0,Sunny,17.8,Weekend,7,"$1,056.77",1
2026-03-24 15:26:00,PL005,Airport,500,325,175,65,359,23,34,Car,Medium,0,0,Sunny,18,Weekday,15,"$1,286.59",0
2025-10-13 09:30:00,PL007,Mall,300,164,136,54.67,199,51,16,Car,High,1,0,Cloudy,18.8,Weekday,9,$591.49,1
2026-01-07 02:15:00,PL001,Mall,420,184,236,43.81,204,19,18,Car,Low,1,0,Rainy,5.6,Weekday,2,$575.01,0
